
Date        West     East     DMI(=West-East)
1870:1:16:0 -0.293059 -0.0351939 -0.257865
1870:2:16:0 -0.416493 -0.261713 -0.15478
1870:3:16:0 0.0216882 -0.318718 0.340406
1870:4:16:0 0.124107 -0.0332099 0.157317
1870:5:16:0 -0.293801 -0.0388107 -0.254991
1870:6:16:0 -0.366836 -0.0461273 -0.320709
1870:7:16:0 -0.286013 0.0360145 -0.322028
1870:8:16:0 -0.0617529 0.137766 -0.199519
1870:9:16:0 -0.232152 0.0914429 -0.323595
1870:10:16:0 -0.19914 0.0376792 -0.236819
1870:11:16:0 -0.129499 -0.00361675 -0.125882
1870:12:16:0 -0.183778 -0.0452755 -0.138503
1871:1:16:0 -0.0866769 0.00330668 -0.0899836
1871:2:16:0 -0.112882 -0.129448 0.0165662
1871:3:16:0 -0.170153 -0.132594 -0.0375589
1871:4:16:0 -0.175363 -0.236668 0.0613052
1871:5:16:0 -0.258175 -0.366863 0.108688
1871:6:16:0 -0.347951 -0.402121 0.0541702
1871:7:16:0 -0.217571 -0.10272 -0.114851
1871:8:16:0 -0.200979 -0.14274 -0.0582398
1871:9:16:0 -0.350536 -0.423274 0.0727372
1871:10:16:0 -0.445683 -0.314923 -0.13076
1871:11:16:0 -0.14321 -0.208837 0.0656273
1871:12:16:0 -0.224983 -0.230455 0.00547267
1872:1:16:0 -0.178852 -0.328861 0.150009
1872:2:16:0 -0.0661921 -0.28459 0.218398
1872:3:16:0 -0.112729 -0.208721 0.0959925
1872:4:16:0 -0.186227 -0.309414 0.123187
1872:5:16:0 -0.00909929 -0.0878916 0.0787923
1872:6:16:0 0.0391564 -0.0885964 0.127753
1872:7:16:0 -0.0706255 -0.103076 0.0324508
1872:8:16:0 -0.152729 -0.144389 -0.00834042
1872:9:16:0 -0.109249 -0.174422 0.0651724
1872:10:16:0 -0.0727946 -0.194999 0.122205
1872:11:16:0 0.118204 -0.0495238 0.167728
1872:12:16:0 -0.152317 -0.264862 0.112545
1873:1:16:0 -0.0954725 -0.337342 0.24187
1873:2:16:0 -0.469373 -0.337177 -0.132195
1873:3:16:0 -0.585553 -0.363415 -0.222138
1873:4:16:0 -0.305044 -0.241718 -0.063326
1873:5:16:0 -0.495758 -0.308153 -0.187605
